"Location","All Adults","Male","Female"
"Alabama","0.401","0.352","0.445"
"Alaska","0.413","0.359","0.465"
"Arizona","0.417","0.398","0.435"
"Arkansas","0.434","0.399","0.468"
"California","0.421","0.399","0.443"
"Colorado","0.363","0.319","0.409"
"Connecticut","0.402","0.355","0.444"
"Delaware","0.375","0.297","0.443"
"District of Columbia","0.386","0.349","0.416"
"Florida","0.389","0.354","0.422"
"Georgia","0.387","0.322","0.443"
"Hawaii","0.336","0.307","0.366"
"Idaho","0.369","0.309","0.429"
"Illinois","0.375","0.329","0.417"
"Indiana","0.375","0.324","0.425"
"Iowa","0.355","0.368","0.343"
"Kansas","0.345","0.290","0.395"
"Kentucky","0.390","0.351","0.425"
"Louisiana","0.427","0.390","0.464"
"Maine","0.382","0.328","0.429"
"Maryland","0.373","0.336","0.405"
"Massachusetts","0.397","0.385","0.409"
"Michigan","0.391","0.359","0.421"
"Minnesota","0.323","0.280","0.364"
"Mississippi","0.433","0.382","0.483"
"Missouri","0.399","0.353","0.444"
"Montana","0.321","0.331","0.311"
"Nebraska","0.359","0.307","0.408"
"Nevada","0.440","0.415","0.466"
"New Hampshire","0.326","0.274","0.379"
"New Jersey","0.388","0.331","0.444"
"New Mexico","0.429","0.382","0.474"
"New York","0.418","0.356","0.475"
"North Carolina","0.389","0.392","0.387"
"North Dakota","0.355","0.322","0.390"
"Ohio","0.364","0.282","0.435"
"Oklahoma","0.387","0.339","0.432"
"Oregon","0.451","0.423","0.478"
"Pennsylvania","0.354","0.259","0.439"
"Rhode Island","0.381","0.384","0.379"
"South Carolina","0.388","0.386","0.391"
"South Dakota","0.309","0.242","0.372"
"Tennessee","0.406","0.380","0.429"
"Texas","0.399","0.362","0.433"
"Utah","0.402","0.355","0.448"
"Vermont","0.387","0.387","0.386"
"Virginia","0.387","0.364","0.406"
"Washington","0.409","0.382","0.438"
"West Virginia","0.418","0.332","0.501"
"Wisconsin","0.367","0.353","0.379"
"Wyoming","0.292","0.255","0.328"
