Week,depression: (Worldwide)
2020-01-05,86
2020-01-12,87
2020-01-19,85
2020-01-26,87
2020-02-02,90
2020-02-09,89
2020-02-16,89
2020-02-23,91
2020-03-01,100
2020-03-08,91
2020-03-15,95
2020-03-22,89
2020-03-29,90
2020-04-05,84
2020-04-12,80
2020-04-19,84
2020-04-26,86
2020-05-03,83
2020-05-10,84
2020-05-17,82
2020-05-24,78
2020-05-31,74
2020-06-07,75
2020-06-14,71
2020-06-21,71
2020-06-28,66
2020-07-05,76
2020-07-12,72
2020-07-19,71
2020-07-26,74
2020-08-02,72
2020-08-09,72
2020-08-16,72
2020-08-23,74
2020-08-30,74
2020-09-06,82
2020-09-13,84
2020-09-20,83
2020-09-27,80
2020-10-04,84
2020-10-11,89
2020-10-18,84
2020-10-25,79
2020-11-01,88
2020-11-08,87
2020-11-15,92
2020-11-22,77
2020-11-29,89
2020-12-06,86
2020-12-13,77
2020-12-20,62
2020-12-27,69
