,Country,depression: (2020)
13,Philippines,100.0
21,United States,89.0
26,South Africa,87.0
31,Australia,83.0
42,New Zealand,76.0
43,Kenya,76.0
48,Canada,75.0
49,United Kingdom,71.0
51,Ireland,67.0
59,Singapore,62.0
61,Ghana,60.0
63,Nepal,55.0
65,Pakistan,51.0
67,Denmark,50.0
70,Sweden,50.0
73,Nigeria,46.0
75,Malaysia,44.0
78,Germany,44.0
83,Switzerland,39.0
86,India,35.0
88,Austria,33.0
90,United Arab Emirates,33.0
92,Bangladesh,33.0
99,Sri Lanka,32.0
103,France,30.0
117,Hong Kong,23.0
128,Norway,17.0
138,Belgium,14.0
142,Finland,14.0
150,Saudi Arabia,10.0
151,Egypt,10.0
153,Netherlands,10.0
159,Greece,8.0
164,South Korea,8.0
165,Romania,8.0
173,Vietnam,7.0
177,Thailand,7.0
178,Indonesia,7.0
184,Taiwan,5.0
193,Poland,3.0
195,Spain,3.0
197,Mexico,3.0
198,Italy,3.0
205,Russia,1.0
208,Turkey,1.0
213,Brazil,1.0
214,Japan,1.0
