Category: All categories

Day,unemployment: (Worldwide),depression: (Worldwide)
2020-01-01,32,77
2020-01-02,61,84
2020-01-03,53,77
2020-01-04,30,78
2020-01-05,59,84
2020-01-06,83,83
2020-01-07,64,90
2020-01-08,58,88
2020-01-09,53,90
2020-01-10,51,85
2020-01-11,32,74
2020-01-12,55,84
2020-01-13,76,89
2020-01-14,63,89
2020-01-15,59,91
2020-01-16,51,88
2020-01-17,50,81
2020-01-18,34,75
2020-01-19,58,78
2020-01-20,66,83
2020-01-21,75,90
2020-01-22,67,93
2020-01-23,60,93
2020-01-24,55,86
2020-01-25,31,78
2020-01-26,55,81
2020-01-27,75,93
2020-01-28,63,93
2020-01-29,58,91
2020-01-30,55,94
2020-01-31,50,83
2020-02-01,30,76
2020-02-02,54,80
2020-02-03,70,91
2020-02-04,61,95
2020-02-05,65,95
2020-02-06,58,96
2020-02-07,51,88
2020-02-08,33,77
2020-02-09,57,83
2020-02-10,70,91
2020-02-11,61,98
2020-02-12,54,95
2020-02-13,49,93
2020-02-14,40,80
2020-02-15,29,75
2020-02-16,58,88
2020-02-17,62,90
2020-02-18,65,97
2020-02-19,58,97
2020-02-20,49,95
2020-02-21,47,89
2020-02-22,30,81
2020-02-23,58,91
2020-02-24,70,99
2020-02-25,56,100
2020-02-26,53,97
2020-02-27,46,93
2020-02-28,41,89
2020-02-29,25,73
2020-03-01,51,82
