,ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Time spent on fitness,Time spent on sleep,Time spent on social media,Change in your weight,Health issue during lockdown
0,R1,Delhi-NCR,21,2.0,Good,0.0,7.0,3.0,Increased,NO
1,R2,Delhi-NCR,21,0.0,Excellent,2.0,10.0,3.0,Decreased,NO
4,R5,Delhi-NCR,21,3.0,Good,1.0,8.0,3.0,Remain Constant,NO
5,R6,Delhi-NCR,21,0.0,Very poor,0.0,5.0,1.0,Decreased,YES
8,R9,Delhi-NCR,21,3.0,Very poor,1.0,8.0,2.0,Increased,NO
10,R11,Delhi-NCR,21,3.0,Good,1.0,8.0,3.0,Remain Constant,NO
11,R12,Delhi-NCR,21,1.0,Very poor,1.0,7.0,3.0,Increased,YES
12,R13,Delhi-NCR,21,3.0,Average,0.0,8.0,3.0,Increased,YES
13,R14,Outside Delhi-NCR,22,1.0,Good,0.0,7.0,0.0,Increased,NO
15,R16,Delhi-NCR,22,3.0,Average,1.0,6.0,2.0,Increased,NO
18,R19,Delhi-NCR,21,0.0,Very poor,0.0,7.0,7.0,Remain Constant,NO
19,R20,Delhi-NCR,22,5.0,Very poor,1.0,8.0,4.0,Increased,NO
21,R22,Delhi-NCR,21,5.0,Average,1.0,10.0,5.0,Remain Constant,NO
22,R23,Delhi-NCR,21,4.0,Very poor,0.0,8.0,6.0,Decreased,NO
23,R24,Delhi-NCR,21,4.0,Average,1.0,7.0,1.0,Decreased,NO
26,R27,Delhi-NCR,21,4.0,Very poor,0.0,8.0,3.0,Increased,YES
29,R30,Delhi-NCR,22,4.0,Very poor,1.0,5.0,3.0,Remain Constant,NO
31,R32,Delhi-NCR,23,4.0,Excellent,1.0,8.0,2.0,Decreased,NO
32,R33,Delhi-NCR,21,0.0,Very poor,2.0,4.0,2.0,Remain Constant,NO
33,R34,Delhi-NCR,22,5.0,Very poor,0.0,6.0,2.0,Decreased,YES
35,R36,Outside Delhi-NCR,21,6.0,Average,1.0,8.0,3.0,Remain Constant,NO
38,R39,Outside Delhi-NCR,22,1.0,Very poor,0.5,8.0,2.0,Increased,NO
40,R41,Delhi-NCR,24,4.0,Good,2.0,6.0,4.0,Increased,NO
41,R42,Outside Delhi-NCR,21,0.0,Very poor,0.0,10.0,8.0,Remain Constant,NO
43,R44,Delhi-NCR,21,5.0,Very poor,1.0,8.0,1.0,Increased,NO
45,R46,Delhi-NCR,22,3.0,Very poor,0.0,8.0,1.0,Increased,NO
48,R49,Delhi-NCR,21,3.0,Very poor,2.0,8.0,2.0,Increased,NO
52,R53,Delhi-NCR,21,3.0,Average,0.0,5.0,1.0,Increased,NO
54,R55,Delhi-NCR,21,4.0,Average,1.0,8.0,2.0,Remain Constant,NO
59,R60,Delhi-NCR,21,0.0,Very poor,0.0,8.0,1.0,Remain Constant,NO
60,R61,Delhi-NCR,22,6.0,Very poor,0.0,6.0,1.0,Increased,NO
64,R65,Delhi-NCR,23,2.0,Very poor,1.0,7.0,5.0,Decreased,NO
71,R72,Delhi-NCR,22,6.0,Very poor,0.0,7.0,2.0,Increased,NO
80,R81,Delhi-NCR,21,5.0,Average,0.0,8.0,7.0,Increased,YES
81,R82,Delhi-NCR,21,3.0,Good,1.0,10.0,1.0,Remain Constant,NO
84,R85,Outside Delhi-NCR,21,1.0,Poor,0.0,10.0,1.0,Decreased,NO
87,R88,Outside Delhi-NCR,21,4.0,Very poor,1.0,8.0,1.0,Decreased,NO
90,R91,Outside Delhi-NCR,25,4.0,Very poor,1.0,7.0,1.0,Remain Constant,YES
97,R98,Delhi-NCR,22,2.0,Average,0.0,12.0,4.0,Increased,NO
98,R99,Outside Delhi-NCR,21,1.0,Good,2.0,10.0,1.0,Increased,YES
99,R100,Delhi-NCR,21,1.0,Very poor,1.0,8.0,1.0,Increased,NO
101,R102,Outside Delhi-NCR,21,3.0,Average,0.0,8.0,7.0,Remain Constant,NO
102,R103,Outside Delhi-NCR,21,4.0,Very poor,1.0,7.0,1.0,Decreased,YES
