"country","rateWb","yearWb","rateIlo","yearIlo","rateCia","yearCia"
"South Africa","29.2000","2020","29.2000","2020","28.5300","2019"
"Djibouti","26.1000","2017","26.1000","2017","40","2017"
"Equatorial Guinea","25","1983","","","8.6000","2014"
"Botswana","24.9000","2020","22.6000","2019","20","2013"
"Grenada","22.9000","2015","22.9000","2015","24","2017"
"Eswatini","22.7000","2016","22.7000","2016","28","2014"
"Lesotho","22.4000","2019","22.4000","2019","28.1000","2014"
"Gabon","20.4000","2010","","","28","2015"
"Namibia","19.9000","2018","19.9000","2018","34","2016"
"Curacao","19.1000","2020","13.4000","2018","13","2013"
"Libya","19","2012","","","30","2004"
"Saint Vincent and the Grenadines","18.8000","2008","","","18.8000","2008"
"Panama","18.6000","2020","4.7000","2019","6.1400","2018"
"Georgia","18.5000","2020","18.5000","2020","11.8000","2016"
"Armenia","18.3000","2019","18.3000","2019","18.9000","2017"
"Montenegro","17.9000","2020","15.1000","2019","15.8200","2019"
"Costa Rica","17.4000","2020","17.4000","2020","8.1000","2017"
"Sudan","17.4000","2011","","","19.6000","2017"
"North Macedonia","17.2000","2020","17.2000","2020","",""
"Zimbabwe","16.9000","2019","16.9000","2019","11.3000","2014"
"Jordan","16.8000","2019","16.8000","2019","19.1000","2019"
"Greece","16.3000","2020","16.3000","2020","17.3000","2019"
"Bosnia and Herzegovina","15.9000","2020","15.7000","2019","33.2800","2019"
"Spain","15.5000","2020","15.5000","2020","14.1300","2019"
"Saint Lucia","15.3000","2019","15.3000","2019","20","2003"
"Rwanda","15.3000","2019","15.3000","2019","2.7000","2014"
"Tunisia","15.1000","2019","15.1000","2019","15.5000","2017"
"Colombia","15","2020","15","2020","10.5000","2019"
"New Caledonia","14.6000","2014","14.6000","2014","14.7000","2014"
"Samoa","14.5000","2017","14.5000","2017","5.2000","2017"
"Haiti","14.1000","2012","","","40.6000","2010"
"Brazil","13.7000","2020","13.7000","2020","11.9300","2019"
"Sao Tome and Principe","13.6000","2012","","","12.2000","2017"
"Algeria","13.6000","2017","13.6000","2017","11.7000","2017"
"Yemen","13.5000","2014","13.5000","2014","27","2014"
"Nauru","13.3000","2013","","","23","2011"
"Turkey","13.1000","2020","13.1000","2020","13.6800","2019"
"Iraq","13","2017","13","2017","16","2012"
"Zambia","12.5000","2019","12","2018","15","2008"
"South Sudan","12.2000","2008","","","",""
"French Polynesia","11.7000","2007","","","21.8000","2012"
"Albania","11.7000","2020","11.5000","2019","5.8300","2019"
"Afghanistan","11.7000","2020","11.2000","2017","23.9000","2017"
"Argentina","11.5000","2020","9.8000","2019","9.8400","2019"
"Nepal","11.4000","2017","11.4000","2017","3","2017"
"Lebanon","11.3000","2019","11.4000","2019","9.7000","2007"
"Northern Mariana Islands","11.2000","2010","","","11.2000","2010"
"Chile","11.2000","2020","11.2000","2020","7.2200","2019"
"Dominica","11","2001","","","23","2000"
"Honduras","11","2020","5.7000","2019","5.6000","2017"
"Uruguay","10.5000","2020","10.4000","2020","7.6000","2017"
"Mauritania","10.3000","2017","10.3000","2017","10.2000","2017"
"Gambia","10.2000","2018","10.2000","2018","",""
"Uganda","10.1000","2017","9.9000","2017","9.4000","2014"
"Bahamas","10","2018","10","2018","10.1000","2017"
"Republic of the Congo","10","2012","","","36","2014"
"Iran","9.7000","2020","10.7000","2019","11.8000","2017"
"Angola","9.6000","2014","9.6000","2014","6.6000","2016"
"Canada","9.5000","2020","9.5000","2020","5.6700","2019"
"Ukraine","9.5000","2020","8.2000","2019","8.8900","2019"
"Laos","9.4000","2017","9.4000","2017","0.7000","2017"
"Morocco","9.3000","2016","9.3000","2016","9.2300","2019"
"American Samoa","9.2000","2010","","","29.8000","2005"
"Italy","9.2000","2020","9.2000","2020","9.8800","2019"
"Greenland","9.1000","2015","9.1000","2015","9.1000","2015"
"Belize","9.1000","2019","6.6000","2017","9","2017"
"Serbia","9","2020","9","2020","14.1000","2017"
"Uzbekistan","9","2019","9","2019","5","2017"
"Bermuda","8.9000","2014","8.9000","2014","7","2017"
"Aruba","8.9000","2011","","","7.7000","2016"
"Micronesia","8.9000","2014","8.9000","2014","16.2000","2010"
"Kiribati","8.6000","2019","8.6000","2019","30.6000","2010"
"Syria","8.6000","2010","","","50","2017"
"Tuvalu","8.5000","2016","8.5000","2016","",""
"Lithuania","8.5000","2020","8.5000","2020","8.4000","2019"
"Nigeria","8.5000","2019","8.5000","2018","16.5000","2017"
