Week,drugs,stress
2020-01-05,82,78
2020-01-12,82,83
2020-01-19,80,83
2020-01-26,83,84
2020-02-02,86,84
2020-02-09,86,86
2020-02-16,90,91
2020-02-23,89,90
2020-03-01,89,87
2020-03-08,80,80
2020-03-15,87,74
2020-03-22,88,77
2020-03-29,86,77
2020-04-05,91,78
2020-04-12,86,79
2020-04-19,86,80
2020-04-26,86,80
2020-05-03,87,80
2020-05-10,83,82
2020-05-17,79,79
2020-05-24,78,77
2020-05-31,82,77
2020-06-07,84,82
2020-06-14,81,80
2020-06-21,84,81
2020-06-28,77,74
2020-07-05,78,77
2020-07-12,84,78
2020-07-19,93,78
2020-07-26,90,75
2020-08-02,82,73
2020-08-09,81,73
2020-08-16,84,79
2020-08-23,93,80
2020-08-30,87,83
2020-09-06,94,87
2020-09-13,90,96
2020-09-20,100,92
2020-09-27,89,87
2020-10-04,89,88
2020-10-11,88,88
2020-10-18,81,85
2020-10-25,79,83
2020-11-01,92,89
2020-11-08,87,86
2020-11-15,90,89
2020-11-22,84,82
2020-11-29,85,90
2020-12-06,87,91
2020-12-13,83,86
2020-12-20,77,64
2020-12-27,76,66
