"State","suicideRate","suicideNumber"
"Wyoming","29.3000","170"
"Alaska","28.5000","210"
"Montana","26.2000","289"
"New Mexico","24","513"
"Colorado","22.1000","1312"
"Utah","21.2000","654"
"South Dakota","20.9000","182"
"Oklahoma","20.5000","816"
"Oregon","20.4000","906"
"Idaho","20.4000","365"
"Nevada","19.8000","642"
"Maine","19.4000","276"
"Arizona","18.7000","1419"
"West Virginia","18.5000","330"
"Missouri","18.2000","1141"
"Kansas","18.2000","523"
"North Dakota","18.1000","136"
"Arkansas","18","548"
"New Hampshire","17.5000","255"
"Tennessee","17.2000","1219"
"Iowa","16.7000","528"
"Kentucky","16.5000","756"
"Alabama","16.3000","804"
"South Carolina","16.2000","852"
"Nebraska","16.1000","309"
"Vermont","16","110"
"Washington","15.9000","1263"
"Hawaii","15.5000","224"
"Ohio","15.1000","1806"
"Louisiana","15","704"
"Georgia","14.6000","1585"
"Florida","14.5000","3465"
"Mississippi","14.4000","436"
"Minnesota","14.4000","830"
"Michigan","14.3000","1472"
"Indiana","14.2000","972"
"Pennsylvania","14.1000","1896"
"Wisconsin","14","845"
"Texas","13.4000","3891"
"Virginia","12.8000","1140"
"North Carolina","12.5000","1358"
"Connecticut","11.4000","435"
"Delaware","11.3000","111"
"Illinois","10.9000","1439"
"Rhode Island","10.7000","123"
"California","10.7000","4436"
"Maryland","10.3000","657"
"Massachusetts","8.7000","647"
"New York","8.3000","1705"
"New Jersey","8","762"
