Day,suicide,lonely
2020-01-01,69,35
2020-01-02,61,35
2020-01-03,63,29
2020-01-04,62,36
2020-01-05,65,37
2020-01-06,59,29
2020-01-07,62,32
2020-01-08,58,29
2020-01-09,58,32
2020-01-10,60,32
2020-01-11,63,36
2020-01-12,66,36
2020-01-13,68,31
2020-01-14,69,29
2020-01-15,64,32
2020-01-16,69,31
2020-01-17,68,32
2020-01-18,68,36
2020-01-19,71,35
2020-01-20,64,31
2020-01-21,64,31
2020-01-22,65,29
2020-01-23,66,30
2020-01-24,71,31
2020-01-25,76,32
2020-01-26,78,33
2020-01-27,67,29
2020-01-28,72,32
2020-01-29,65,33
2020-01-30,65,29
2020-01-31,67,31
2020-02-01,67,38
2020-02-02,74,39
2020-02-03,78,31
2020-02-04,73,31
2020-02-05,67,31
2020-02-06,73,34
2020-02-07,75,33
2020-02-08,75,38
2020-02-09,77,39
2020-02-10,76,30
2020-02-11,72,32
2020-02-12,69,32
2020-02-13,68,31
2020-02-14,70,38
2020-02-15,94,41
2020-02-16,100,40
2020-02-17,82,31
2020-02-18,77,36
2020-02-19,83,36
2020-02-20,79,33
2020-02-21,78,33
2020-02-22,80,36
2020-02-23,80,37
2020-02-24,72,30
2020-02-25,72,29
2020-02-26,67,29
2020-02-27,67,30
2020-02-28,65,30
2020-02-29,78,33
2020-03-01,75,33
