"country","rate2019both","rate2019male","rate2019female","pop2022"
"Lesotho","72.4000","116","30.1000","2175.6990"
"Guyana","40.3000","63","17.4000","794.0450"
"Eswatini","29.4000","55.1000","4.7000","1184.8170"
"South Korea","28.6000","40.2000","16.9000","51329.8990"
"Kiribati","28.3000","48.6000","8.7000","123.4190"
"Micronesia","28.2000","43.2000","12.7000","117.4890"
"Lithuania","26.1000","45.4000","9.6000","2661.7080"
"Suriname","25.4000","38.8000","11.8000","596.8310"
"Russia","25.1000","43.6000","9.1000","145805.9470"
"South Africa","23.5000","37.6000","9.8000","60756.1350"
"Ukraine","21.6000","39.2000","6.5000","43192.1220"
"Uruguay","21.2000","34.5000","8.9000","3496.0160"
"Belarus","21.2000","36.7000","7.7000","9432.8000"
"Montenegro","21","31.7000","10.4000","627.9500"
"Latvia","20.1000","35.5000","7","1848.8370"
"Slovenia","19.8000","31.4000","8.3000","2078.0340"
"Belgium","18.3000","24.9000","11.8000","11668.2780"
"Vanuatu","18","28.1000","7.6000","321.8320"
"Mongolia","17.9000","30.7000","5.4000","3378.0780"
"Kazakhstan","17.6000","29","6.8000","19205.0430"
"Hungary","16.6000","25.9000","8.3000","9606.2590"
"Croatia","16.4000","25.3000","8.1000","4059.2860"
"Botswana","16.1000","26.3000","6.4000","2441.1620"
"United States","16.1000","25","7.5000","334805.2690"
"Finland","15.3000","23.2000","7.6000","5554.9600"
"Japan","15.3000","21.8000","9.2000","125584.8380"
"Estonia","14.9000","24.3000","6.5000","1321.9100"
"Solomon Islands","14.7000","27","1.9000","721.1590"
"Moldova","14.7000","26.1000","4.1000","4013.1710"
"Sweden","14.7000","19.9000","9.5000","10218.9710"
"Austria","14.6000","22.8000","6.7000","9066.7100"
"Switzerland","14.5000","20.2000","9","8773.6370"
"Cuba","14.5000","23","6","11305.6520"
"Zimbabwe","14.1000","20","8.8000","15331.4280"
"Sri Lanka","14","22.3000","6.2000","21575.8420"
"France","13.8000","20.4000","7.6000","65584.5180"
"Mozambique","13.6000","22","5.7000","33089.4610"
"India","12.7000","14.1000","11.1000","1406631.7760"
"Samoa","12.6000","18","6.7000","202.2390"
"Australia","12.5000","18.6000","6.4000","26068.7920"
"Central African Republic","12.3000","19.6000","5.2000","5016.6780"
"Germany","12.3000","18.6000","6.2000","83883.5960"
"Slovakia","12.1000","21.2000","3.4000","5460.1930"
"Iceland","11.9000","19.8000","3.9000","345.3930"
"Norway","11.8000","15.8000","7.7000","5511.3700"
"Netherlands","11.8000","15.5000","8.3000","17211.4470"
"Canada","11.8000","17.6000","6.1000","38388.4190"
"Portugal","11.5000","17.9000","5.7000","10140.5700"
"Serbia","11.4000","16.6000","6.3000","8653.0160"
"Luxembourg","11.3000","15.3000","7.1000","642.3710"
"Poland","11.3000","20.1000","3.1000","37739.7850"
"Singapore","11.2000","15","7.1000","5943.5460"
"New Zealand","11","16.5000","5.8000","4898.2030"
"Bosnia and Herzegovina","10.9000","17.6000","4.5000","3249.3170"
"Eritrea","10.9000","16.6000","5.2000","3662.2440"
"Denmark","10.7000","14.9000","6.5000","5834.9500"
"Namibia","9.7000","16.7000","3.2000","2633.8740"
"Bulgaria","9.7000","15.3000","4.4000","6844.5970"
"Romania","9.7000","16.5000","3.3000","19031.3350"
"Djibouti","9.6000","12.6000","6.4000","1016.0970"
"Ireland","9.6000","15.4000","3.9000","5020.1990"
"Haiti","9.6000","11.8000","7.6000","11680.2830"
"Mauritius","9.5000","16.3000","2.8000","1274.7270"
"North Macedonia","9.4000","13.9000","4.8000","2081.3040"
"North Korea","9.4000","11.2000","7.6000","25990.6790"
"Georgia","9.2000","16","3","3968.7380"
"Fiji","9","12.2000","5.7000","909.4660"
"Chile","9","14.9000","3.2000","19250.1950"
"Cameroon","9","13.6000","4.4000","27911.5480"
"Nepal","9","16.4000","2.7000","30225.5820"
"Bahrain","8.9000","12.5000","2.4000","1783.9830"
"Ivory Coast","8.9000","14.9000","2.8000","27742.2980"
"Pakistan","8.9000","13.3000","4.3000","229488.9940"
"Togo","8.8000","13.8000","3.9000","8680.8370"
"Thailand","8.8000","15","2.9000","70078.2030"
"Trinidad and Tobago","8.7000","13.9000","3.6000","1406.5850"
"Gabon","8.4000","14.2000","2.4000","2331.5330"
"Argentina","8.4000","13.7000","3.3000","46010.2340"
"Seychelles","8.1000","14.4000","1.4000","99.4260"
"Costa Rica","8.1000","14.1000","2","5182.3540"
"China","8.1000","9.8000","6.2000","1448471.4000"
"Uzbekistan","8","11.3000","4.8000","34382.0840"
"Saint Lucia","7.9000","14.3000","1.7000","185.1130"
"Equatorial Guinea","7.9000","9.4000","6","1496.6620"
"Somalia","7.9000","12","3.8000","16841.7950"
"United Kingdom","7.9000","11.8000","4","68497.9070"
"Benin","7.8000","11.8000","3.8000","12784.7260"
"Spain","7.7000","11.4000","4.2000","46719.1420"
